name,genre,type,episodes,members,rating
Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1.0,200630,9.37
Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64.0,793665,9.26
Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,114262,9.25
Steins;Gate,"Sci-Fi, Thriller",TV,24.0,673572,9.17
Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,151266,9.16
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10.0,93351,9.15
Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148.0,425855,9.13
Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110.0,80679,9.11
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,72534,9.1
Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,81109,9.11
Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24.0,456749,9.06
Koe no Katachi,"Drama, School, Shounen",Movie,1.0,102733,9.05
Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201.0,336376,9.04
Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25.0,572888,8.98
Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25.0,179342,8.93
Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1.0,466254,8.93
Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22.0,416397,8.92
Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,75894,8.88
Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1.0,226193,8.84
Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25.0,715151,8.83
Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,157670,8.83
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4.0,129307,8.83
Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,486824,8.82
One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12.0,552458,8.82
Mononoke Hime,"Action, Adventure, Fantasy",Movie,1.0,339556,8.81
Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,240297,8.81
Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,205959,8.8
Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,101351,8.8
Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26.0,300030,8.78
Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,562962,8.78
Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43.0,268487,8.77
Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,38865,8.76
Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26.0,88995,8.75
Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1.0,32266,8.75
Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,98431,8.75
Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1.0,333186,8.74
Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12.0,340973,8.73
Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1.0,34347,8.73
Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,247562,8.72
Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,133620,8.71
Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37.0,1013917,8.71
Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2.0,16947,8.69
Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25.0,176475,8.68
Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25.0,284498,8.68
Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25.0,66756,8.68
Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1.0,111074,8.68
Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,102322,8.67
Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11.0,97187,8.67
